# Equilibrio L-V con potencial Lennard-Jones

units           lj
atom_style      atomic

# Crear caja inicial (10x10x10) con red FCC y replicar en X
lattice         fcc 0.8442
Lattice spacing in x,y,z = 1.6795962 1.6795962 1.6795962
region          box block 0 10 0 10 0 10
create_box      1 box
Created orthogonal box = (0 0 0) to (16.795962 16.795962 16.795962)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 4000 atoms
  using lattice units in orthogonal box = (0 0 0) to (16.795962 16.795962 16.795962)
  create_atoms CPU = 0.007 seconds
replicate       3 1 1
Replication is creating a 3x1x1 = 3 times larger system...
  orthogonal box = (0 0 0) to (50.387886 16.795962 16.795962)
  1 by 1 by 1 MPI processor grid
  12000 atoms
  replicate CPU = 0.019 seconds

# Borrar las regiones laterales (sólo conservar el centro)
group           extremos id <> 1 4000
4000 atoms in group extremos
group           extremos id <> 8001 12000
8000 atoms in group extremos
delete_atoms    group extremos
Deleted 8000 atoms, new total = 4000

mass            1 1.0
neigh_modify    delay 5

# Inicialización de velocidades
velocity        all create 0.7 87287

# Interacción Lennard-Jones
pair_style      lj/cut 2.5
pair_coeff      1 1 1.0 1.0

# Temperatura de simulación (editable)
variable        T equal 1.0

# Primera etapa: dinámica NVE
fix             f1 all nve

compute         tempi all temp
compute         press all pressure tempi

# Registro de temperatura y presión
fix             f_temp all ave/time 10 10 100 c_tempi file temperatura_${T}.out
fix             f_temp all ave/time 10 10 100 c_tempi file temperatura_1.out
fix             f_press all ave/time 10 10 100 c_press file prico_${T}.out
fix             f_press all ave/time 10 10 100 c_press file prico_1.out

# Registro del tensor de presión completo
fix             f_tensor all ave/time 10 10 100 c_press[1] c_press[2] c_press[3] c_press[4] c_press[5] c_press[6] file ptensor_${T}.out
fix             f_tensor all ave/time 10 10 100 c_press[1] c_press[2] c_press[3] c_press[4] c_press[5] c_press[6] file ptensor_1.out

# Dump inicial para observar evolución
dump            d1 all atom 100 dump_${T}.melt
dump            d1 all atom 100 dump_1.melt

thermo_style    custom step density pe ke etotal
thermo          50
timestep        0.005

# Corrida inicial para estabilización
run             20000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 5 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 36 12 12
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.654 | 3.654 | 3.654 Mbytes
   Step        Density         PotEng         KinEng         TotEng    
         0   0.2814        -6.5223221      1.0497375     -5.4725846    
        50   0.2814        -6.0033117      0.52370404    -5.4796077    
       100   0.2814        -6.1375609      0.65155539    -5.4860055    
       150   0.2814        -6.2222601      0.72811482    -5.4941453    
       200   0.2814        -6.3128572      0.81021549    -5.5026417    
       250   0.2814        -6.4033481      0.89155994    -5.5117882    
       300   0.2814        -6.4578205      0.93691497    -5.5209056    
       350   0.2814        -6.4746232      0.94739093    -5.5272323    
       400   0.2814        -6.4765654      0.94545393    -5.5311115    
       450   0.2814        -6.4993393      0.96466721    -5.534672     
       500   0.2814        -6.4927093      0.95761728    -5.535092     
       550   0.2814        -6.488591       0.95603268    -5.5325584    
       600   0.2814        -6.4745944      0.94573743    -5.528857     
       650   0.2814        -6.4481969      0.92462357    -5.5235734    
       700   0.2814        -6.4013034      0.88536112    -5.5159422    
       750   0.2814        -6.3256732      0.81913084    -5.5065424    
       800   0.2814        -6.2441317      0.74537345    -5.4987582    
       850   0.2814        -6.2014507      0.70904717    -5.4924036    
       900   0.2814        -6.1441997      0.65577476    -5.4884249    
       950   0.2814        -6.1343948      0.64631211    -5.4880827    
      1000   0.2814        -6.1476607      0.6579034     -5.4897573    
      1050   0.2814        -6.1817798      0.68843283    -5.493347     
      1100   0.2814        -6.2449187      0.74593461    -5.4989841    
      1150   0.2814        -6.320276       0.813861      -5.506415     
      1200   0.2814        -6.3768879      0.86213646    -5.5147514    
      1250   0.2814        -6.4193851      0.89723283    -5.5221523    
      1300   0.2814        -6.4516783      0.92408558    -5.5275927    
      1350   0.2814        -6.4754428      0.94466581    -5.530777     
      1400   0.2814        -6.4607324      0.92860812    -5.5321243    
      1450   0.2814        -6.4575809      0.92558177    -5.5319991    
      1500   0.2814        -6.4550821      0.92526366    -5.5298185    
      1550   0.2814        -6.4381051      0.91246684    -5.5256382    
      1600   0.2814        -6.4119338      0.89199278    -5.519941     
      1650   0.2814        -6.3682358      0.85610769    -5.5121281    
      1700   0.2814        -6.3073517      0.8021656     -5.5051861    
      1750   0.2814        -6.2377876      0.73887925    -5.4989083    
      1800   0.2814        -6.2118129      0.71647671    -5.4953362    
      1850   0.2814        -6.1793086      0.68607383    -5.4932348    
      1900   0.2814        -6.1917497      0.6980242     -5.4937255    
      1950   0.2814        -6.2201969      0.72371075    -5.4964862    
      2000   0.2814        -6.2583047      0.75810375    -5.500201     
      2050   0.2814        -6.3073392      0.80236998    -5.5049693    
      2100   0.2814        -6.3614147      0.84915042    -5.5122643    
      2150   0.2814        -6.4132521      0.89410767    -5.5191444    
      2200   0.2814        -6.4095586      0.88462194    -5.5249367    
      2250   0.2814        -6.4386379      0.91031299    -5.5283249    
      2300   0.2814        -6.4564451      0.92644466    -5.5300004    
      2350   0.2814        -6.4419426      0.9135352     -5.5284074    
      2400   0.2814        -6.4376465      0.91093153    -5.526715     
      2450   0.2814        -6.4063883      0.88380193    -5.5225863    
      2500   0.2814        -6.3821591      0.86642132    -5.5157378    
      2550   0.2814        -6.3336194      0.82375132    -5.5098681    
      2600   0.2814        -6.2892524      0.78448073    -5.5047716    
      2650   0.2814        -6.2554929      0.7548409     -5.500652     
      2700   0.2814        -6.2379681      0.74029358    -5.4976745    
      2750   0.2814        -6.2069979      0.71072056    -5.4962773    
      2800   0.2814        -6.2205221      0.72286137    -5.4976607    
      2850   0.2814        -6.2568394      0.75691908    -5.4999203    
      2900   0.2814        -6.2874583      0.78409374    -5.5033646    
      2950   0.2814        -6.3154406      0.80690809    -5.5085326    
      3000   0.2814        -6.3750346      0.86021108    -5.5148235    
      3050   0.2814        -6.406571       0.88586467    -5.5207063    
      3100   0.2814        -6.4101373      0.88560005    -5.5245372    
      3150   0.2814        -6.4361282      0.90940539    -5.5267228    
      3200   0.2814        -6.4243008      0.89716675    -5.527134     
      3250   0.2814        -6.4296221      0.90318205    -5.52644      
      3300   0.2814        -6.4196359      0.89588034    -5.5237556    
      3350   0.2814        -6.4017469      0.8816649     -5.520082     
      3400   0.2814        -6.3770327      0.86334611    -5.5136866    
      3450   0.2814        -6.3149436      0.80609662    -5.508847     
      3500   0.2814        -6.2912864      0.78709686    -5.5041895    
      3550   0.2814        -6.2514079      0.75075973    -5.5006482    
      3600   0.2814        -6.2441217      0.74407758    -5.5000441    
      3650   0.2814        -6.2333961      0.73407428    -5.4993219    
      3700   0.2814        -6.247009       0.74695507    -5.5000539    
      3750   0.2814        -6.2725031      0.77065399    -5.5018491    
      3800   0.2814        -6.2939592      0.78814393    -5.5058152    
      3850   0.2814        -6.3354892      0.82442186    -5.5110673    
      3900   0.2814        -6.3585919      0.8424613     -5.5161306    
      3950   0.2814        -6.3951041      0.87469409    -5.52041      
      4000   0.2814        -6.3947062      0.87134651    -5.5233597    
      4050   0.2814        -6.4270475      0.90225746    -5.52479      
      4100   0.2814        -6.4022727      0.87746353    -5.5248092    
      4150   0.2814        -6.4046794      0.88123179    -5.5234476    
      4200   0.2814        -6.4051258      0.88397984    -5.521146     
      4250   0.2814        -6.3816349      0.86369882    -5.5179361    
      4300   0.2814        -6.3612439      0.8476189     -5.513625     
      4350   0.2814        -6.3095724      0.80081866    -5.5087537    
      4400   0.2814        -6.2981005      0.7928831     -5.5052174    
      4450   0.2814        -6.2587925      0.7559685     -5.502824     
      4500   0.2814        -6.2652616      0.76436768    -5.500894     
      4550   0.2814        -6.2431379      0.74227189    -5.500866     
      4600   0.2814        -6.2605426      0.75939299    -5.5011496    
      4650   0.2814        -6.2716573      0.76791645    -5.5037409    
      4700   0.2814        -6.3010091      0.79327935    -5.5077298    
      4750   0.2814        -6.3335903      0.8225035     -5.5110868    
      4800   0.2814        -6.3557023      0.84055579    -5.5151465    
      4850   0.2814        -6.387699       0.86892725    -5.5187718    
      4900   0.2814        -6.3923446      0.87145134    -5.5208933    
      4950   0.2814        -6.3980583      0.87620398    -5.5218543    
      5000   0.2814        -6.3916889      0.86922666    -5.5224622    
      5050   0.2814        -6.3828455      0.86196027    -5.5208852    
      5100   0.2814        -6.3731312      0.85425644    -5.5188747    
      5150   0.2814        -6.367432       0.85100345    -5.5164286    
      5200   0.2814        -6.3518067      0.83845779    -5.513349     
      5250   0.2814        -6.3180117      0.80791769    -5.510094     
      5300   0.2814        -6.3003681      0.79331686    -5.5070513    
      5350   0.2814        -6.2835022      0.7789541     -5.5045481    
      5400   0.2814        -6.2777217      0.77466864    -5.5030531    
      5450   0.2814        -6.2825011      0.77988241    -5.5026187    
      5500   0.2814        -6.2900674      0.7849914     -5.505076     
      5550   0.2814        -6.3085964      0.80329316    -5.5053033    
      5600   0.2814        -6.3253986      0.81739016    -5.5080085    
      5650   0.2814        -6.3410387      0.82933193    -5.5117068    
      5700   0.2814        -6.3568262      0.84246773    -5.5143585    
